subs,deg,divs,steps,pri,cond,iter,errBmax,errAmax,errEmax,errBa,errEa
2,2,8,256,64,3.6716e+01,20.000000,7.1384e-04,6.0521e-04,1.0922e-03,8.6332e-04,7.9201e-04
2,2,8,512,64,5.9920e+01,23.996086,7.1384e-04,6.0521e-04,5.9648e-04,8.5674e-04,4.3206e-04
2,2,8,1024,64,8.9736e+01,26.971652,7.1384e-04,6.0521e-04,3.8449e-04,8.5501e-04,2.7717e-04
2,2,8,2048,64,1.2103e+02,29.104543,7.1384e-04,6.0521e-04,3.1535e-04,8.5454e-04,2.2228e-04
2,2,8,4096,64,1.4991e+02,31.095482,7.1384e-04,6.0521e-04,3.1654e-04,8.5440e-04,2.0632e-04
2,2,8,8192,64,1.7411e+02,32.983396,7.1384e-04,6.0521e-04,3.4413e-04,8.5436e-04,2.0211e-04
2,3,2,2,9,1.1443e+00,5.000000,2.4361e-02,3.7936e-02,1.5642e-01,3.4469e-02,1.5642e-01
2,3,2,4,9,1.4010e+00,5.000000,1.1664e-02,1.4245e-02,7.5765e-02,1.5042e-02,6.0801e-02
2,3,2,8,9,1.9074e+00,7.000000,5.3581e-03,6.3074e-03,3.3973e-02,6.8557e-03,2.7045e-02
2,3,2,16,9,2.8698e+00,8.000000,2.7693e-03,2.9846e-03,1.6910e-02,3.4907e-03,1.2822e-02
2,3,2,32,9,4.5009e+00,8.000000,1.6099e-03,1.4596e-03,8.4612e-03,2.0130e-03,6.2621e-03
2,3,2,64,9,7.0317e+00,9.000000,1.1639e-03,8.9826e-04,4.2420e-03,1.4449e-03,3.1084e-03
2,3,2,128,9,1.0420e+01,10.000000,1.0692e-03,8.9826e-04,2.1541e-03,1.3024e-03,1.5694e-03
2,3,2,256,9,1.4253e+01,11.000000,1.0692e-03,8.9826e-04,1.1351e-03,1.2847e-03,8.2637e-04
2,3,2,512,9,1.7979e+01,11.000000,1.0692e-03,8.9826e-04,8.6319e-04,1.2800e-03,4.8914e-04
2,3,2,1024,9,2.1270e+01,11.000000,1.0692e-03,8.9826e-04,9.1574e-04,1.2787e-03,3.5796e-04
2,3,2,2048,9,2.3957e+01,11.000000,1.0692e-03,8.9826e-04,9.9519e-04,1.2784e-03,3.1646e-04
2,3,2,4096,9,2.6063e+01,12.000000,1.0692e-03,8.9826e-04,1.0804e-03,1.2782e-03,3.0502e-04
2,3,2,8192,9,2.7463e+01,12.000000,1.0692e-03,8.9826e-04,1.2018e-03,1.2782e-03,3.0201e-04
2,3,3,2,16,1.1839e+00,5.000000,2.4369e-02,3.8056e-02,1.5638e-01,3.4465e-02,1.5638e-01
2,3,3,4,16,1.5124e+00,6.000000,1.1648e-02,1.4290e-02,7.5732e-02,1.5011e-02,6.0782e-02
2,3,3,8,16,2.0637e+00,7.000000,5.3076e-03,6.3258e-03,3.3931e-02,6.7796e-03,2.7032e-02
2,3,3,16,16,3.2552e+00,9.000000,2.6475e-03,2.9902e-03,1.6897e-02,3.3257e-03,1.2811e-02
2,3,3,32,16,5.3781e+00,10.000000,1.3522e-03,1.4560e-03,8.4487e-03,1.6857e-03,6.2499e-03
2,3,3,64,16,8.9517e+00,11.000000,7.3740e-04,7.2022e-04,4.2228e-03,9.1572e-04,3.0909e-03
2,3,3,128,16,1.4230e+01,12.000000,4.7229e-04,3.6138e-04,2.1181e-03,5.8519e-04,1.5400e-03
2,3,3,256,16,2.1265e+01,13.000000,3.8499e-04,3.1734e-04,1.0673e-03,4.7341e-04,7.7352e-04
